,location,Area Sq.ft,bhk,bath_clean,dates,Title_modify
7886,Manoj Mandhare Torana Prangan,567,1    ,1,2021-01-23, Dhayari
7887,Winds Avenue,900,2    ,2,2021-01-23, Bekrai Nagar
7888,Shree Gajanan Housing Society,964,2    ,2,2021-01-23, Chinchwad Gaon
7890,Planet Millennium CHS,1300,3    ,2,2021-01-23, Pimple Saudagar
7891,Aaple Ghar Society,6500,1    ,1,2021-01-23, Kharadi
7894,Durvankur Residency Radheshwari Nagar,875,2    ,2,2021-01-23, Wagholi
7895,Goyal Shinde Park,450,1    ,1,2021-01-23, Aundh
7896,Splendor Megapolis,1300,2    ,2,2021-01-23, Hinjewadi
7897,On Req,945,2    ,2,2021-01-23, Pimple Saudagar
7898,"Sahjeevan society , old sanghavi",560,1    ,1,2021-01-23," Old sanghavi ,Near maruti mandir , post office"
7899,Effiel City,1288,3    ,3,2021-01-23, Chakan
7900,Mayur Heights,696,1    ,1,2021-01-23, Phursungi
7903,Bhakti Plaza,750,1    ,2,2021-01-23, Vishrantwadi
7904,Aspiria Society,1000,2    ,2,2021-01-23, Bhatewara Nagar
7906,Flat No.1S.No.49/2 3/13 Bhakti Plaza,650,1    ,2,2021-01-23," Bhairav Nagar,Vishrantwadi"
7908,10 Vrindavan Society,1150,2    ,2,2021-01-23, Dhanori
7909,Suchintan Pushpanjali Park,727,1    ,1,2021-01-23, Pimpri Chinchwad
7910,Kunal Iconia,1400,3    ,3,2021-01-23, St Tukaram Nagar
7911,Pyramid County,920,2    ,2,2021-01-23, Bhukum
7912,Madhuban Housing Society,670,1    ,1,2021-01-23, Vishrantwadi
7914,Capital One,820,2    ,2,2021-01-23, Hadapsar
7915,Greenland County,500,1    ,1,2021-01-23, Manaji Nagar
7916,Rahul New Ajanta Avenue,1500,3    ,3,2021-01-23, Kothrud
7917,BU Bhandari Skyline,610,1    ,1,2021-01-23, Dighi
7918,Kohinoor Abhimaan Homes,952,2    ,2,2021-01-23, Shirgaon
7919,Ganga Aria,1050,2    ,2,2021-01-23, Bhairav Nagar
7920,gajanan nagar society,350,1   ,1,2021-01-23, Gajanan Nagar
7927,Rachana Belvedere,1085,2    ,2,2021-01-23, Sadhu Vaswani Nagar
7928,Siddhivinayak Wind Chime CHS,1150,2    ,2,2021-03-08, Rahatani
7929,Dreams Ragini,926,1    ,1,2021-01-23, Manjari Budruk
7930,On request,300,1   ,1,2021-01-23, Warje
7931,Vilas Javdekar Yashone Society,560,1    ,1,2021-01-23, Pirangut
7933,Vishwa Vinayak Dwarka Vishwa,940,2    ,2,2021-01-23, Indrayani Nagar
7934,Rhythm Housing Society,1470,3    ,3,2021-01-23, Kalewadi Phata
7935,Xrbia Hinjewadi,540,2    ,1,2021-01-23, Hinjewadi
7938,Creative Eclectica Homes,1000,2    ,2,2021-01-23, Pimple Saudagar
7939,KrishnaGeeta,560,1    ,1,2021-01-23, Aundh Gaon
7940,Mantra Essence,500,1    ,1,2021-01-23, Undri
7941,sadanand residence,850,2    ,2,2021-01-23, Narhe
7945,Swati Morning Mist,665,1    ,1,2021-01-23, Wagholi
7947,Paranjape Blue Ridge,1134,2    ,2,2021-01-23, Hinjewadi
7948,Ganga Acropolis,804,2    ,2,2021-01-23, Baner
7949,Godrej Infinity,1200,1    ,2,2021-01-23, Keshavnagar.mundwa
7950,Surobhi Regency,900,2    ,2,2021-01-23, B.T Kawade Road
7951,Swati Morning Mist,665,1    ,1,2021-01-23, Wagholi
7952,Vardhman township,600,2    ,2,2021-03-11, sasane nagar
7954,Rmc Garden,740,2    ,2,2021-01-23, Wagholi
7955,Gangapuram Society,550,1    ,1,2021-01-22, Viman Nagar
7957,Mantra Insignia,801,2    ,1,2021-01-22, Keshav Nagar
7959,Shriniwas Serene County,820,2    ,2,2021-01-22, Nandel Fata
7960,Nisarg City-I Apartments Wakad,1100,3    ,2,2021-03-12, Kaspate Vasti
7961,Megapolis Splendour,1105,2    ,2,2021-01-22, Phase-3 Hinjewadi
7962,Sampada Complex,650,1    ,1,2021-01-22, Ganj Peth
7963,Shivtirth Apartment,1000,2    ,2,2021-01-22, Pimpri Chinchwad
7964,Snehdeep Society,610,1    ,1,2021-01-22, Behind Radisson Hotel
7966,Anandtara Sayajiraje Avenue,605,1    ,1,2021-01-22, Keshav Nagar
7967,Rose Icon,1140,2    ,2,2021-01-22, Pimple Saudagar
7969,Goel Ganga Constella,1050,2    ,2,2021-01-22, Eon Free Zone
7970,On request,450,1    ,1,2021-01-22, New Mangalwar Peth
7971,PS Splendour Park,961,2    ,2,2021-01-22, Wagholi
7972,Blue Carnation,650,1    ,1,2021-01-22, Hadapsar
7973,Suvishwa Apartment,310,1   ,1,2021-01-22, Vijay Nagar
7974,"Ushakal Apartment, Prajakta Housing Scty",996,2    ,1,2021-01-22, Deep Bangla Chowk
7976,Majda Delux Home,515,1    ,1,2021-01-22, Vishrantwadi
7977,Riddhi Siddhi Paradise,650,1    ,1,2021-01-22, Dhayari
7978,Pristine Prolife,1000,3    ,3,2021-01-22, Wakad
7979,Melange Residency,1050,2    ,2,2021-01-22, Phase-3 Hinjewadi
7980,on request,1100,3    ,2,2021-01-22, Kondhwa
7981,Bhosale Tupe Society,550,1    ,2,2021-01-22, Gadital
7982,Aaditya-Prabhat,900,2    ,2,2021-03-08," Sector No 10, Spine Road ,Pradhikaran,Bhosari"
7983,Magarpatta Cosmos Apartment,1125,2    ,2,2021-01-22, Hadapsar
7987,Navkar Feel,1200,2    ,2,2021-01-22, Kharadi
7990,Plot No 197,300,1    ,1,2021-01-22, Sector No-28 Pradhikaran
7991,Nigadi,400,1    ,1,2021-01-22, Sector No-28 Pradhikaran
7992,Gangapuram Society,550,1    ,1,2021-01-22, Viman Nagar
7994,gaurishankar society,1130,2    ,2,2021-01-22, Anand Nagar
7995,On Request,550,1    ,1,2021-01-22, Bibwewadi Annex
7996,Shree Anand Venkateshwara Royal Court,1087,2    ,2,2021-01-22, Wakad
7997,On Request,600,1    ,1,2021-01-22, Mhada Colony
7999,Ganraj Estate Society Vaiduwadi,770,2    ,2,2021-01-22, Vaiduwadi Ramtekadi
8000,Marvel ideal spacio,1095,2    ,2,2021-03-08, Undri Pune
8002,Kul Ecoloch Delite,580,1    ,2,2021-01-22, Mahalunge
8003,On Request,700,1    ,1,2021-01-22, Manjari Budruk
8007,"Siddhant Residency , VeerbhadraNagar Baner",960,2    ,2,2021-01-22," Lane No 4 , VeerbhadraNagar"
8009,Mantra IRA,1100,2    ,2,2021-01-22, Undri
8010,Amruta Vihar,550,1    ,1,2021-01-22," Sinhagad road, Kirkatwadi"
8014,runwal seagullHadapsar,1350,3    ,3,2021-01-22, Hadapsar
8015,Matoshri Niwas,450,1    ,1,2021-01-22, Chakan
8017,Westend Riverview,1300,2    ,2,2021-01-22, Aundh
8018,Kolte Patil Three Jewels,1000,2    ,2,2021-01-22, Katraj Kondhwa Road
8019,Pavani Pride,960,2    ,2,2021-01-22, Ravet
8020,Ideal Spacio,1095,2    ,2,2021-01-22, Undri
8021,Saptrang Aakash Society,800,2    ,2,2021-03-13, Bhekrai Nagar
8023,Venkatesh Flora,1150,2    ,2,2021-01-22, Mundhwa
8024,Rainbow Grace,1400,3    ,3,2021-01-22, Wagholi
8025,Rahul Nagar,825,2    ,2,2021-01-22, Kothrud
8026,Kesar Imperial Blue,811,2    ,2,2021-01-22, Dighi
8029,Anmol Resodency Wakad,1200,2    ,2,2021-01-22, Kaspate Vasti
8030,Deep Jyoti Society,600,1    ,2,2021-01-22, SambhajiNagar Chinchwad
8031,KUMAR PRIVIE SIENNA,2551,4    ,5,2021-01-23, Magarpatta
8032,tirupati park,400,1    ,1,2021-01-22, Adarsh Nagar
8034,Unique Housing Society,900,2    ,2,2021-01-22, Dehu Road
8036,Atria Grande,1050,2    ,2,2021-01-22, Undri
8037,"Nisarg Colony,Kashid Park",700,1    ,1,2021-01-22, Pimple Gurav
8038,On Request,350,1    ,1,2021-01-22, Ambegaon Pathar
8039,Amargeet Hsg Soc,600,1    ,1,2021-01-22, Lohiya Nagar
8042,DNV Elite Gardens,300,1    ,1,2021-01-22, Aundh
8045,On Req,700,1    ,1,2021-01-22, Old Sangvi
8046,Lotus Laxmi 1,990,2    ,2,2021-03-10, Ravet
8047,shreerang heights,370,1    ,1,2021-01-22, Urit Nagar
8049,Magarpatta Cosmos Apartment,1000,1    ,1,2021-01-22, Hadapsar
8051,jogehswari tower keshav Nagar,921,2    ,2,2021-01-22, Keshav Nagar
8055,Aashirwad Apartment,650,1    ,1,2021-01-22," Vishwashanti colony No. 2,Pimple Saudagar"
8056,On request,750,2    ,2,2021-01-22, Wagholi
8057,Magarpatta City Jasminium,1250,2    ,2,2021-03-10, Magarpatta
8058,Megapolis Sparklet,988,2    ,2,2021-01-22, Hinjewadi
8059,Avenue Blossom,990,2    ,2,2021-01-22, Baner
8060,5 Star Royal Entrada,1100,2    ,2,2021-03-10, Bhumkar Nagar
8061,Pathare Thube Nagar,500,1    ,1,2021-01-22, Chandan Nagar
8062,Citadel Enclave Ghorpadi,660,1    ,2,2021-01-22, Ghorpadi
8063,Siddharth Nagar Rd No 1,620,1    ,1,2021-01-22, Siddartha Nagar
8065,nul,1000,2    ,2,2021-01-22, Jagdish Nagar
8066,Mittal Crest,1750,3    ,3,2021-01-22, Kalyani Nagar
8067,Sanskruti Jardin,1050,2    ,2,2021-01-22, Baner
8068,Hindavi Scrum Utkarsh,1600,3    ,3,2021-01-21, Hinjewadi
8069,Icon Viva,1070,2    ,2,2021-01-21, Hinjewadi
8070,Shreeji Angan,840,2    ,2,2021-01-21, Pimpri Chinchwad
8071,Royal Entrada,1300,3    ,3,2021-01-21, Bhumkar Nagar
8072,Skywards Nirvana,1500,3    ,2,2021-01-21, Hadapsar
8073,Paranjape Gloria Grace,1605,3    ,3,2021-01-21, Pranjali Patil Nagar
8074,Aapla Ghar Chakan,753,2    ,1,2021-01-21, Chakan
8075,Florida Minis,524,1    ,1,2021-01-21, Keshav Nagar
8078,Shiwani Kunj Co Opp Society,556,1    ,1,2021-01-21, Pimpri
8079,Vasundhara Building,1700,1    ,1,2021-01-21, Marunji
8081,Rama Melange Society,1050,2    ,2,2021-01-21, Phase-3 Hinjewadi
8082,JJ The Nest,950,2    ,2,2021-01-21, Ravet
8083,Amarnath Paramount Smart City,1100,2    ,2,2021-01-21, Lohegaon
8084,Golf Residency,545,1    ,1,2021-01-21, Shashtri Nagar
8085,Vastu Neket RPS Homes,800,2    ,2,2021-01-21, Lohegaon
8086,GK Silverland Residency Phase 3,632,2    ,2,2021-01-21, Ravet
8087,Sauhard,1330,2    ,2,2021-01-21, Nigdi
8088,The Royal Mirage,655,1    ,1,2021-01-21, Wakad
8089,Sai Prasad Apartment,550,1    ,1,2021-01-21, Chitanya Nagar
8091,Sundar Sankul,1100,2    ,2,2021-01-21, Near nobel hodpital
8092,OMSAI enclave,550,1    ,2,2021-01-21, Sector No-26 Pradhikaran
8093,S B Samruddhi,620,1    ,1,2021-01-21, Ubale Nagar
8094,Sanket Vihar,750,2    ,2,2021-01-21," Sanket Vihar, Sainagar, Gahunje, Dehuroad Pune"
8095,Building No 18,250,1    ,1,2021-01-21, Yamuna Nagar
8096,Prestine New City,650,2    ,2,2021-01-21, Bakhori
8097,Ashwini Palace,1300,2    ,2,2021-01-21, Wanowrie
8098,Raviraj Rakshaknagar Gold,595,1    ,1,2021-01-21, Pandhari Nagar
8099,Casa Imperial,875,2    ,2,2021-01-21, Hinjewadi
8100,Swapnalok,680,2    ,2,2021-01-21, Tukai Darshan
8101,Flat No. 115 Shree Mangesh Housing Society,1000,3    ,2,2021-01-21, Krushna nagar
8104,Tirupati Campus Phase 2,1039,2    ,2,2021-01-21, Tingre Nagar
8105,Gandhi Bafna Ayaan,950,2    ,2,2021-01-21, Wagholi
8106,Ceratec Avika,387,1    ,1,2021-01-21, Yewalewadi
8107,Imperal Alassio Ressidency,878,2    ,2,2021-01-21, Ravet
8109,B. U. Bhandari Skyline,651,1    ,1,2021-01-21, Pura Bhandari Colony
8110,Amit Astonia Classic,687,2    ,2,2021-01-21, Undri
8112,Regalia Apartment,1000,2    ,2,2021-01-21, Eon Free Zone
8114,Swamivivekanad society,850,2    ,2,2021-01-21, Walhekarwadi
8116,Yashraj Yashshree Panache,700,1    ,2,2021-01-21, Wakad
8117,Vasant Avenue,1250,2    ,2,2021-01-21, Pimple Saudagar
8118,Bramhacorp F Residences,1800,3    ,3,2021-03-12, Kalyani Nagar
8123,ARV New Town,929,3    ,3,2021-03-11, Undri
8124,Nakshtra Phase 1,790,2    ,2,2021-01-21, Purnanagar
8125,Amanora Future Towers,1000,3    ,3,2021-01-21, Hadapsar
8130,Angels Apartment,500,1    ,1,2021-01-21, Chandralok Nagari
8132,reba complax,600,2    ,1,2021-01-21, Sanjay Park
8133,Ram Green Hive,600,1    ,1,2021-01-21, Phursungi
8134,Goel Ganga Hill Mist Garden,630,1    ,1,2021-01-21, Kondhwa
8136,GMC Nivara,512,1    ,1,2021-01-21, Pimpri
8137,Ashoka Society,512,1    ,1,2021-01-21, Kalewadi Phata
8138,38 Park Majestique,325,1    ,1,2021-01-21, Undri
8141,Ghavte apartment,700,1    ,1,2021-01-21, Manjari Budruk
8143,Society,815,2    ,2,2021-03-08, Kharadi
8144,Sonigra Park,1000,2    ,2,2021-01-21, Dange Chowk
8145,Ashirwad Terrace,850,2    ,2,2021-01-21, Shivane
8146,Sant Dnyaneshwari nagar,947,3    ,2,2021-01-21, Mhada Colony
8147,Sheth Beverly Hills,705,2    ,1,2021-01-21, Hinjewadi
8151,Pride Regency,650,1    ,1,2021-01-21, Viman Nagar
8152,Aryak Residency,757,2    ,1,2021-01-21, Shivane
8153,Mittal niwas,1000,2    ,1,2021-01-21, Khadki Bazar
8154,Bala Heights,780,2    ,1,2021-01-21, Dighi
8155,Samath villas,850,1    ,1,2021-01-21, Kharadi
8157,Samath villas,850,1    ,1,2021-01-21, Kharadi
8158,Shankar Maharaj,800,2    ,1,2021-01-21, Bibwewadi
8159,Aaditva Society,850,2    ,2,2021-01-21, Sector No-7 Bhosari
8160,Shankar Maharaj,800,2    ,1,2021-01-21, Bibwewadi
8161,Adityas A Garden City,970,2    ,2,2021-01-21, Warje
8162,samarth apartments,400,1    ,1,2021-01-21, Hingne Khurd
8163,Chandraprakash Heights,510,1    ,1,2021-01-21, Kaka Pawar Antarashtriy Kusti Sankul
8164,Kale Heights,400,1   ,1,2021-01-21, Someshwarwadi
8166,Much More Apartment,680,1    ,1,2021-01-21, Tingre Nagar
8167,White House Society,900,2    ,2,2021-01-21, Yerwada
8168,Runwal Meadows,760,2    ,1,2021-01-21, Warje
8169,Suyog Lucky Homes,823,2    ,2,2021-01-21, Wagholi
8170,"Abhiyanta Colony ,Jyotiba Nagar Kalewadi",700,1    ,1,2021-01-21, Kalewadi
8171,Teerth Towers,1115,2    ,2,2021-01-21, Sus
8174,Monica Classic Phase 2,567,1    ,1,2021-01-21, Bhekrai Nagar
8175,Balkrishna Indu Heights,616,1    ,1,2021-01-21, Dighi
8176,Shedge heights,550,1    ,1,2021-01-21, New datta nagar
8177,Madhuban colony old sangvi pune,550,1    ,1,2021-01-21, Madhuban society
8178,Starcity,650,1    ,1,2021-01-21, Dudulgaon
8179,Shankar Suman Vishwa,603,1    ,1,2021-01-21, Hadapsar
8181,Shantai Divine Homes,640,1    ,1,2021-01-21, Ravet
8182,Laxman Hsg Soc,700,2    ,1,2021-01-21, Shukravar Peth
8183,GS Palaash Icon,400,1    ,1,2021-01-21, Udyog Nagar
8184,Megapolis Splendour,1459,3    ,3,2021-01-21, Hinjewadi
8185,Greenwood Society,770,2    ,1,2021-01-21, Manjari Budruk
8187,Ravi park Society,1100,2    ,3,2021-01-20, Kale Padal
8188,sudharshan chembers,700,1    ,1,2021-01-20, Warje Malwadi
8191,Blossom Heights,650,1    ,1,2021-03-11, Z Corner Manjari Bk
8192,GK Royale Hills,633,1    ,2,2021-01-20, Kiwale
8193,Ananya Park,840,2    ,2,2021-01-20," Near S N B P school ,Keshavnagar"
8194,Ganesh Vihar Pune,750,1    ,1,2021-01-20, Bopkhel
8195,Envision Girisparsh,435,1    ,1,2021-01-20, Khed Shivapur
8197,MEERA SHAM APARTMENT,570,1    ,2,2021-01-20, Wadgaon Sheri
8200,Sharda PranayRaj Heritage,1000,2    ,2,2021-03-08, Vishrantwadi
8201,Sai Raj residency Thergaon,750,2    ,2,2021-02-01," Ganesh Nagar, Thergaon"
8202,Hermes Heritage,1010,2    ,2,2021-01-20, Shastri Nagar
8203,Balaji Housing Society,1000,2    ,2,2021-01-20, Chinchwad
8206,Nanded City Janaranjani,540,1    ,1,2021-01-20, Nandel Fata
8208,"Shrisai Building, Lane 1, Dhore Nagar, old Sangavi",650,1    ,1,2021-01-20, Dhore Nagar
8209,Crown Co-op Housing Society,750,2    ,2,2021-03-16, Salwe Nagar
8211,Suyog Lucky Homes,779,2    ,2,2021-01-20, Wagholi
8212,Avinashji Mohite Ideal Home,750,2    ,2,2021-01-20, Chakan
8213,Gitai Apartment,650,1    ,1,2021-01-20, Bhosari
8214,RajHeramb Regalia Residency,982,2    ,2,2021-01-20, Bavdhan
8215,Said Heritage,800,2    ,1,2021-01-20, Baner Road
8217,Vardhman Aangan,680,1    ,1,2021-01-20, Rahatani
8219,Preeti Prakash Chs,1800,2    ,2,2021-03-16, B.T Kawade Road
8220,Peninsula Ashok Meadows,1620,2    ,2,2021-03-06, Hinjewadi Phase 1
8221,Bramha Sky City,961,2    ,2,2021-01-20, Dhanori
8222,Pristine Privilege,1140,2    ,2,2021-01-20, Aundh
8223,Deepak Park,500,1    ,2,2021-01-20, Kalyani Nagar
8225,Majestique Imperia,608,1    ,1,2021-01-20, Hadapsar
8226,on req,450,1    ,1,2021-01-20, Aundh
8228,Ridhi Siddhi Apartment,850,2    ,2,2021-01-20, Pimple Nilakh
8229,on request,1000,2    ,2,2021-01-20, Bhugaon
8230,Megapolis Sunway,1050,2    ,2,2021-01-20, Phase-3 Hinjewadi
8234,Leisure Town,1100,2    ,2,2021-01-20, Hadapsar
8235,The Construction Group Sai Datta Niwas,500,1    ,1,2021-01-20, Ambegaon
8237,Vilas Javdekar Yashwin Hinjewadi,950,2    ,2,2021-01-20, Hinjewadi Phase 2
8239,Jalan Aura County,575,1    ,1,2021-01-20, Kharadi Annex
8240,Rahul Park,942,2    ,2,2021-01-20, Warje
8241,Gayatri Park Society,700,1    ,1,2021-01-20, Vishrantwadi
8242,Viniyog,350,1    ,1,2021-01-20, Shani Nagar
8243,Kumar Primavera,995,2    ,2,2021-01-20, Sainath Nagar
8244,Amrutvel Greens,960,2    ,2,2021-01-20, Kirkatwadi
8245,Megapolis Splendour,1112,2    ,2,2021-01-20, Phase-3 Hinjewadi
8246,Eagle society,356,1    ,1,2021-01-20," shivaji putla, kothrud"
8249,Atlanta Society,1000,2    ,2,2021-01-20, Wakad
8250,Shri Krishna Avenue,750,2    ,2,2021-01-20, Hadapsar
8251,Vandana Residency,1500,3    ,3,2021-01-20, Tulaja Bhawani Nagar
8252,Shree Siddhiwinaayk Platinum Park,997,2    ,2,2021-01-20, Wadachi Wadi
8253,Hari Om Apartment,1700,3    ,2,2021-01-20, Tingre Nagar
8254,hari om,2200,2    ,1,2021-01-20, Lohegaon
8256,Ganpati Society,700,1    ,1,2021-01-20, Tukaram Nagar
8257,Sai Vaibhav Society pimple saudagar,650,1    ,1,2021-01-20, Near Govind Yashada Chowk
8258,Royal Enrich,1107,2    ,2,2021-01-20, Magarpatta
8259,SP Infocity Pune,600,1    ,1,2021-01-20, Phursungi
8261,pranayini apartment,500,1    ,1,2021-01-20, Behind Jog Hospital i.e. Now Jahangir Specialty Hospital
8262,Mango Woods,1318,2    ,2,2021-01-20, Pisoli
8263,Home,1000,1    ,1,2021-01-20, Raghoba Patil Nagar
8264,Nilesh classic society Handewadi Road Satavnagar,625,1    ,1,2021-01-20, Shriram chowk
8265,Platinum Towers,1500,3    ,3,2021-01-20, Wakad
8267,Park Springs,945,2    ,2,2021-03-05, Dhanori
8268,Pittie Kourtyard,1661,2    ,2,2021-03-16, Kharadi
8269,on request,750,1    ,1,2021-01-20, Yerwada
8270,Shri ram Apartment,630,1    ,1,2021-01-20, Old Sangvi
8271,On Request,650,2    ,2,2021-01-20, Dhanori
8273,Darshan Nagri,600,2    ,1,2021-01-20, Pimpri Chinchwad
8275,Atul Muktai,935,2    ,3,2021-01-20, Kothrud
8277,Blithe Icon,1003,2    ,2,2021-01-20, Wagholi
8278,Bunty Mayur Nagari Phase 2,850,2    ,2,2021-01-20, Pimple Gurav
8280,Aishwarya Residency,560,1    ,1,2021-01-20, Vadgaon Sheri
8281,Whistling Meadows,1500,3    ,3,2021-01-20, Bhugaon
8282,Janaranjani B,700,1    ,1,2021-01-20, Nanded City
8287,Forest County,2005,3    ,3,2021-01-20, Kharadi
8288,Mantra Magic,515,1    ,1,2021-03-04, Chimbali
8289,Maruti Apartment,400,1    ,1,2021-01-19, Kalanagar
8290,Kapre Heights,550,1    ,1,2021-01-19, Sinhgad Road
8291,Megapolis Sparklet,1000,2    ,2,2021-03-04, Hinjewadi
8292,Nirmal Township,900,2    ,2,2021-01-19, Kaleborate Nagar
8293,Darpan Society,1050,2    ,2,2021-01-19," Vishal Nagar, Pimple Nilakh"
8294,Shubhkalp Apartment,620,1    ,1,2021-01-19, Hadapsar
8295,Kukreja Heritage,1026,2    ,2,2021-01-19, Dhanori
8296,Akshay society Mhada,1450,3    ,3,2021-01-19, Sant Tukaram Nagar
8297,Ameya Apartment,750,1    ,1,2021-01-19, Kothrud
8298,Aple Ghar Society,1500,2    ,1,2021-01-19, Tulaja Bhawani Nagar
8299,Shree Nidhi,815,2    ,2,2021-01-19, Nimbalkar Nagar
8300,Kumar Pebble Park,860,2    ,2,2021-01-19, Satavwadi
8301,Rutu Nagari,632,1    ,1,2021-01-19, Dhayari
8303,Shiv Smruti Apartments,250,1   ,1,2021-01-19, Bhelkenagar
8304,Gurukrupa Society,600,1    ,1,2021-01-19, Keshav Nagar
8306,pasaydan society,900,2    ,1,2021-01-19, Sector 21
8307,"1221sadashivpeth , Adwaitanand society",785,2    ,1,2021-01-19, Perugate
8308,Kohinoor S3 Lifestyle,1680,3    ,4,2021-01-19, Pimple Saudagar
8309,Om The Island,1350,2    ,1,2021-01-19, Wakad
8310,Nilkanth Apartment,550,1    ,1,2021-01-19, Dhayari Phata
8311,Godashri apartment,900,1    ,1,2021-01-19, Wagholi
8312,On Req,550,1    ,1,2021-01-19, Defence Area
8313,prestige panaroma apartment,1800,3    ,3,2021-01-19, Mhasoba Nagar
8314,Shanti Heights,1000,3    ,3,2021-03-10, Eklavya Colony
8315,Atria Dhanashree Aangan,670,1    ,1,2021-01-19, Undri
8317,Sai Shri Apartment,550,1    ,1,2021-01-19, Manjari Budruk
8318,Nsg Crown,1000,2    ,2,2021-01-19, Vadgaon Budruk
8319,on Request,530,1    ,1,2021-01-19, Dattanagar
8320,Vardhaman Bhoomi Kalewadi,900,2    ,2,2021-01-19, Pimpri
8321,"Sri Ganesh Vrinda CHS,",500,1    ,1,2021-03-13," RamKrishnaParam hansnagar,"
8324,Central Society,600,1    ,1,2021-01-19, Tingre Nagar
8326,Gauree Space Atlantica East,1350,3    ,4,2021-01-19, Keshav Nagar
8327,Hrunanubandh Park 2,650,1    ,1,2021-01-19, Old Sangvi
8328,Tejas Apartment,600,1    ,1,2021-01-19, Tingre Nagar
8329,shivkamal nagari apartment,500,1    ,1,2021-01-19, shinde pool
8330,Pavani Pride,900,2    ,2,2021-01-19, Ravet
8332,Vishwa Vinayak Dwarka Vishwa,850,2    ,2,2021-01-19, Indrayani Nagar
8333,sonandaa niwas,512,1    ,1,2021-01-19, Bhairav Nagar
8334,Sankalp Banglow,950,2    ,1,2021-01-19, New Sanghvi
8336,Neeta Rivaah Regency,855,2    ,2,2021-03-08, Wagholi
8340,Mantra 7 Hills,497,1    ,1,2021-03-10, Kirkatwadi
8341,GK Silverland Residency Phase 3,632,2    ,2,2021-01-19, Ravet
8342,Gurudev Mystique Wonders,925,2    ,2,2021-01-19, Narhe
8343,Savali Apartment,650,2    ,1,2021-01-19, Hadapsar
8344,G K Daffodils Housing Society,1100,3    ,3,2021-01-19, Pimple Saudagar
8345,shri Ganesh aagan,1040,2    ,2,2021-01-19, Siddartha Nagar
8346,Sai Nisarg Sapphire,700,1    ,2,2021-01-19, Pimpri Chinchwad
8347,Vasant Bahar Apartment,1500,2    ,1,2021-01-19, Wanowrie
8348,Gera Emerald City,1256,2    ,3,2021-01-19, Eon Free Zone
8351,Amba Nagari,630,1    ,1,2021-01-19, Anand Park Nagar
8352,shriram housing society,1000,2    ,2,2021-01-19, Warje
8354,Blessed Homes,950,2    ,2,2021-01-19, Kranti Nagar
8355,Magarpatta Grevillea,870,2    ,2,2021-03-08, Magarpatta
8356,Droupadi Apartment,550,1    ,1,2021-01-19, Near kalyan bhel
8357,Grande Ventila,399,1    ,1,2021-01-19, Wagholi
8358,Vilas Javdekar Yashwin Hinjewadi,1200,3    ,2,2021-01-19, Hinjewadi Phase 2
8359,Unecha Sai Galaxy,850,2    ,2,2021-01-19, Wagholi
8360,Majestique Vanalika,831,2    ,2,2021-01-19, Pirangut
8361,"Shree Swami Smarth Nagari Soc, Chinchwad",950,2    ,1,2021-03-15, Chinchwad
8362,Goel Ganga Aashiyana,770,2    ,2,2021-01-19, Chinchwad
8363,Rane Karandikar Chirayu Apartment,750,2    ,2,2021-01-19, Baner
8364,Paranjape Schemes' Rolling Hills 2,1100,2    ,2,2021-03-15, Baner
8365,Induban Residence,1015,2    ,2,2021-01-19, Near Santanirankari Bhavan
8367,Pride World City,1075,2    ,2,2021-01-19, Lohegaon
8368,Sai shweat,850,1    ,1,2021-01-19," Near balaji temple, sus road , pashan"
8372,River Residency,950,2    ,2,2021-01-19, Moshi
8373,Mi Casa Bella,1360,2    ,2,2021-01-19, Pink City Road Wakad Pune Pimpri Chinchwad
8374,Ganaga carnartion,900,2    ,2,2021-03-10, Koregaon Park Annexe
8375,Sejal Park CHS,660,1    ,1,2021-01-19, Chinchwad Gaon
8376,High Mont,760,2    ,2,2021-01-19, Hinjewadi Phase 2
8377,Sai Dharmavant Society,500,1    ,1,2021-01-19, Pimple Gurav
8378,Goel Ganga Niwas,859,2    ,2,2021-01-19, Munjaba Vasti
8380,Mittal Silver Crescent,950,2    ,2,2021-01-19, Raghavendra Nagar
8381,Rose Icon Commercial,550,1    ,1,2021-03-15, Pimple Saudagar
8384,Shree Ganesh Vihar,896,2    ,2,2021-01-19, Madhav Nagar
8385,Vrindavan Garden,802,2    ,1,2021-03-04, Bhekrai Nagar
8386,Vilas Javdekar Yashwin Hinjewadi,751,3    ,2,2021-01-19, Hinjewadi Phase 2
8387,Kohinoor Tinsel Town,1372,3    ,3,2021-01-19, Hinjewadi Phase 2
8388,Chordia Mithras Park,1160,2    ,2,2021-03-05, Pimple Saudagar
8389,Om Aishwarya Residency,1130,2    ,2,2021-01-19, Wakad
8391,Arun Arcade,320,1    ,1,2021-01-19, Dattawadi
8392,Splendor Megapolis,1400,3    ,3,2021-01-19, Hinjewadi
8393,Vanashree Housing Society Bavdhan,510,1    ,1,2021-01-19, Opp Bank Of Maharashrta Bavdhan
8394,"Shalini Residency, Baner, Pune",1250,2    ,2,2021-01-18, Baner
8395,Satyam Rajyog,1075,3    ,2,2021-03-06, Dhanori
8398,Ice Park,691,2    ,1,2021-01-18, Talegaon Dabhade
8399,Samradnyi Housing Society,1100,2    ,1,2021-01-18, Shikshaknagar
8400,38 Park Majestique,325,1    ,2,2021-03-15, Undri
