,location,Area Sq.ft,bhk,bath_clean,dates,Title_modify
248,"siddharth estate, kalyani nagar",710,2    ,2,2021-03-15, joggers park
249,Balaji Kanchanpuram,862,2    ,2,2021-03-15, Wagholi
250,DSK Kunjaban,780,2    ,2,2021-03-15, Kate Wasti
253,The Island,1300,3    ,2,2021-03-15, Shankar Kalat Nagar
254,M Square Dreamland,400,1    ,1,2021-03-15, Kharadi
255,Swami Samarth Complex,550,1    ,1,2021-03-15, Wadgaon sheri Ganesh Nagar Road
256,Samarth angan,600,1    ,1,2021-03-15, Bafna motor showroom
257,Rahul Nagar,550,1    ,1,2021-03-15, Kothrud
258,Aashray Housing Society,2000,1    ,1,2021-03-15, Lohegaon
259,Ganesh Bagh Society,650,2    ,1,2021-03-15, Anand Nagar
260,Suryaman House,1250,3    ,3,2021-03-15, Aundh
261,Safal Oneiro,770,2    ,1,2021-03-15," Wakad, Bhujbal vasti, close to Wakad - Hinjewadi flyover"
262,Mamta Society,500,1    ,2,2021-03-15, Vadgaon Sheri
263,Shreeji Ellwood Homes,617,1    ,1,2021-03-15, Chourai Nagar
264,SKYi Star Towers,754,2    ,2,2021-03-15, Bhukum
265,Rajasa Enclave Society,840,2    ,2,2021-03-15, Kanchan Nagari
266,Navalakha Ritz,1114,2    ,2,2021-03-15, Kharadi
267,"Sai Apartment, lullanagar",1500,2    ,2,2021-03-15, Lullanagar
269,Sumit Apartments,650,1    ,1,2021-03-15, Aundh
270,River Residency,578,1    ,1,2021-03-15, Chikhali
271,Dwarka Sai Wonder Phase 2,1000,2    ,2,2021-03-15, Pimple Saudagar
272,Silver Nest,890,2    ,2,2021-03-15, Rahatani
273,ABIL Pranali Apartment,550,1    ,1,2021-03-15, Rambaug Colony
276,Melange Residency,1300,3    ,3,2021-03-15, Phase-3 Hinjewadi
277,DS Park Royal,930,2    ,2,2021-03-15, Pimple Saudagar
279,Urbangram,745,2    ,2,2021-03-15, Ghotawade Phata
280,Infinity Tower,980,2    ,2,2021-03-15, Punawale
282,Kothari The Rose,930,2    ,2,2021-03-15, Lohegaon
